Velocity_mm_s,Force_N
-2000,-294.30
-1900,-288.98
-1800,-283.66
-1700,-276.99
-1600,-269.48
-1500,-260.15
-1400,-249.00
-1300,-236.03
-1200,-221.24
-1100,-204.64
-1000,-186.39
-900,-166.77
-800,-146.15
-700,-124.71
-600,-102.46
-500,-79.40
-400,-55.53
-300,-30.86
-200,-15.70
-100,-7.85
0,0.00
100,3.92
200,7.85
300,10.79
400,13.73
500,15.70
600,17.66
700,19.62
800,21.58
900,23.54
1000,25.51
1100,27.47
1200,29.43
1300,31.39
1400,33.35
1500,35.30
1600,37.26
1700,39.22
1800,41.18
1900,43.14
2000,45.10
